"contacts","social","laws","citizenship","workpermit","employment","attitude","reputation","destination","candidate","id","gender","age","children","educ","prewar","satisfaction","migmotivation","miglikely","prefchar","prefcountry","incentivised","t_choice"
"Other Syrians","Free healthcare","Ban on hijab in schools","After 5 years","After 3 months","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","Has many well-known brands",0,2,256,"Male","18 - 29","No","Some college but no degree","1",6,1,4,"Asylum policies (e.g. family reunification, resettlement)","Canada","0","122.332"
"No contacts","Free healthcare","No religious bans","After 3 years","After 12 months","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Welcoming to foreigners",0,2,257,"Male","18 - 29","No","Bachelor's degree (4-year)","0",4,4,5,"Employment / career opportunities","UK","0","94.537"
"Family","Generous support for refugees","No religious bans","After 5 years","After 12 months","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Good country for Syrians",1,2,259,"Male","18 - 29","Yes","Diploma or technical certificate (2-year)","0",2,1,2,"Citizenship and rights","Germany","0","110.52"
"Friends","Free housing","No religious bans","After 5 years","Immediately","1 in 4 Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Bad country for Syrians",0,2,262,"Female","18 - 29","No","Some college but no degree","0",4,1,NA,"Citizenship and rights","UK","0","17.386"
"Family","Generous support for refugees","Ban on immigration from Muslim countries","After 5 years","After 3 months","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","Good country for Syrians",1,2,263,"Male","18 - 29","No","Less than high school degree","0",7,1,4,"Employment / career opportunities","Canada","0","19.233"
"No contacts","Free healthcare","Ban on nikab and burka in public","After 8 years","After 3 months","Half of all Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Good country for Syrians",0,2,266,"Male","18 - 29","Yes","Diploma or technical certificate (2-year)","0",4,1,3,"Citizenship and rights","Canada","0","37.676"
"Family","Free healthcare","No religious bans","After 8 years","After 12 months","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Bad country for Syrians",0,2,267,"Male","30-39","Yes","Bachelor's degree (4-year)","0",5,1,NA,"Social benefits and healthcare","Germany","0","35.311"
"Family","Free housing","No religious bans","After 3 years","Immediately","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","Has many well-known brands",1,2,273,"Male","40-49","Yes","Less than high school degree","0",7,1,NA,"Education opportunities","Canada","0","6.834"
"Family","Generous support for refugees","Ban on immigration from Muslim countries","After 3 years","Immediately","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Has many well-known brands",0,2,275,"Male","18 - 29","No","Bachelor's degree (4-year)","0",7,4,5,"Employment / career opportunities","Canada","0","20.369"
"Family","Free healthcare","No religious bans","After 3 years","After 12 months","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Has many well-known brands",0,2,276,"Female","30-39","Prefer not to answer","Bachelor's degree (4-year)","0",2,1,5,"Employment / career opportunities","Germany","0","9.244"
"Other Syrians","Generous support for refugees","Ban on nikab and burka in public","After 5 years","Immediately","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","Has many well-known brands",1,2,277,"Male","18 - 29","No","Bachelor's degree (4-year)","0",7,1,5,"Citizenship and rights","Germany","0","7.259"
"Family","Free healthcare","No religious bans","After 3 years","Immediately","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","Welcoming to foreigners",1,2,278,"Male","18 - 29","No","Bachelor's degree (4-year)","0",2,1,4,"Citizenship and rights","Other / Prefer not to answer","0","5.787"
"Friends","Generous support for refugees","Ban on nikab and burka in public","After 3 years","After 12 months","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","Has many well-known brands",0,2,280,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",2,1,3,"Language and culture","Canada","0","58.307"
"Friends","Free housing","Ban on hijab in schools","After 8 years","After 12 months","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Welcoming to foreigners",1,2,281,"Male","30-39","No","Bachelor's degree (4-year)","0",2,1,6,"Citizenship and rights","UK","0","18.97"
"No contacts","Generous support for refugees","No religious bans","After 3 years","After 3 months","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Bad country for Syrians",0,2,282,"Male","30-39","Yes","Less than high school degree","1",2,1,5,"Asylum policies (e.g. family reunification, resettlement)","USA","0","8.98"
"Family","Free housing","Ban on nikab and burka in public","After 8 years","After 3 months","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Welcoming to foreigners",0,2,284,"Female","18 - 29","No","Some college but no degree","1",4,1,3,"Employment / career opportunities","UK","0","9.024"
"No contacts","Free healthcare","Ban on immigration from Muslim countries","After 5 years","Immediately","Half of all Syrians employed after one year","3 in 4 people support taking in refugees","Good country for Syrians",1,2,285,"Female","18 - 29","No","Diploma or technical certificate (2-year)","0",4,3,5,"Asylum policies (e.g. family reunification, resettlement)","Canada","0","151.994"
"No contacts","Free housing","No religious bans","After 5 years","Immediately","Half of all Syrians employed after one year","3 in 4 people support taking in refugees","Welcoming to foreigners",1,2,286,"Male",NA,NA,"Diploma or technical certificate (2-year)",NA,8,4,4,"Friends / family / relatives in the country","USA","0","43.195"
"Friends","Free healthcare","No religious bans","After 5 years","After 12 months","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","Bad country for Syrians",0,2,287,"Male","18 - 29","Yes","Less than high school degree","0",2,1,2,"Citizenship and rights","UK","0","20.406"
"Friends","Generous support for refugees","Ban on nikab and burka in public","After 3 years","After 12 months","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Good country for Syrians",1,2,288,"Male","40-49","Yes","High school graduate (Baccalaureate / Tawjihi)","0",2,1,2,"Education opportunities","Germany","0","37.64"
"Family","Free housing","Ban on immigration from Muslim countries","After 5 years","After 3 months","Half of all Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Bad country for Syrians",0,2,291,"Female","40-49","No","Master's degree or higher","0",7,6,3,"Citizenship and rights","France","0","61.658"
"Family","No minimum wage","Ban on immigration from Muslim countries","After 5 years","After 3 months","Half of all Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Good country for Syrians",1,2,293,"Male","18 - 29","No","Less than high school degree","0",6,1,4,"Asylum policies (e.g. family reunification, resettlement)","Canada","0","26.714"
"Family","Free healthcare","Ban on immigration from Muslim countries","After 5 years","Immediately","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Has many well-known brands",1,2,294,"Male","18 - 29","No","Bachelor's degree (4-year)","0",8,3,5,"Employment / career opportunities","Canada","0","67.708"
"Family","Free housing","Ban on hijab in schools","After 3 years","After 12 months","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Bad country for Syrians",0,2,297,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",2,1,2,"Citizenship and rights","UK","0","57.426"
"No contacts","Free housing","No religious bans","After 8 years","After 12 months","Half of all Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Bad country for Syrians",1,2,298,"Male","18 - 29","No","Bachelor's degree (4-year)","1",8,2,6,"Employment / career opportunities","Canada","0","76.378"
"No contacts","No minimum wage","Ban on hijab in schools","After 8 years","After 3 months","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Has many well-known brands",0,2,300,"Male","18 - 29","Yes","Less than high school degree","0",2,1,4,"Social benefits and healthcare","Canada","0","65.868"
"Friends","No minimum wage","Ban on immigration from Muslim countries","After 3 years","After 3 months","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","Welcoming to foreigners",0,2,301,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","1",5,1,2,"Citizenship and rights","Canada","0","10.204"
"Other Syrians","Free healthcare","Ban on nikab and burka in public","After 8 years","Immediately","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Bad country for Syrians",0,2,303,"Male","40-49","Yes","High school graduate (Baccalaureate / Tawjihi)","1",6,2,3,"Friends / family / relatives in the country","Canada","0","10.555"
"Friends","Generous support for refugees","Ban on nikab and burka in public","After 8 years","After 12 months","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","Welcoming to foreigners",1,2,304,"Female","18 - 29","No","Bachelor's degree (4-year)","0",6,1,2,"Employment / career opportunities","UK","0","6.517"
"Other Syrians","Free healthcare","No religious bans","After 3 years","Immediately","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Good country for Syrians",1,2,307,"Male","18 - 29","No","Diploma or technical certificate (2-year)","1",5,4,5,"Language and culture","Canada","0","46.314"
"No contacts","Free housing","Ban on hijab in schools","After 8 years","After 3 months","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","Good country for Syrians",0,2,308,"Female","30-39","Yes","Some college but no degree","0",4,1,2,"Citizenship and rights","Canada","0","32.961"
"Family","Free housing","Ban on nikab and burka in public","After 8 years","Immediately","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","Bad country for Syrians",0,2,310,"Male","30-39","No","Bachelor's degree (4-year)","0",2,1,2,"Asylum policies (e.g. family reunification, resettlement)","UK","1","280.225"
"Other Syrians","Free healthcare","No religious bans","After 5 years","After 3 months","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Bad country for Syrians",0,2,311,"Female","18 - 29","No","Bachelor's degree (4-year)","0",7,3,4,"Education opportunities","UK","1","114.739"
"No contacts","Free housing","No religious bans","After 3 years","After 12 months","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Bad country for Syrians",1,2,312,"Female","18 - 29","No","Bachelor's degree (4-year)","0",5,1,6,"Citizenship and rights","Canada","1","166.129"
"Other Syrians","Generous support for refugees","Ban on hijab in schools","After 3 years","After 12 months","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Bad country for Syrians",0,2,313,"Male","50-59","No","Diploma or technical certificate (2-year)","0",7,1,5,"Citizenship and rights","Canada","1","220.192"
"Friends","No minimum wage","No religious bans","After 8 years","After 12 months","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Has many well-known brands",0,2,316,"Male","18 - 29","No","Bachelor's degree (4-year)","0",8,1,4,"Social benefits and healthcare","Germany","1","4.714"
"Family","Free healthcare","Ban on nikab and burka in public","After 3 years","Immediately","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Welcoming to foreigners",1,2,317,"Female","30-39","No","Master's degree or higher","1",5,4,6,"Citizenship and rights","Canada","1","2.969"
"Family","Generous support for refugees","No religious bans","After 3 years","Immediately","1 in 4 Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Welcoming to foreigners",0,2,318,"Female","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",7,1,5,"Employment / career opportunities","Canada","1","4.465"
"Other Syrians","No minimum wage","No religious bans","After 8 years","After 3 months","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","Has many well-known brands",0,2,319,"Male","18 - 29","No","Bachelor's degree (4-year)","0",7,1,6,"Education opportunities","UK","1","2.703"
"Family","Generous support for refugees","No religious bans","After 5 years","After 12 months","Half of all Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Welcoming to foreigners",0,2,320,"Male","18 - 29","No","Less than high school degree","0",4,1,5,"Citizenship and rights","Canada","1","26.065"
"No contacts","Generous support for refugees","Ban on nikab and burka in public","After 8 years","After 3 months","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Welcoming to foreigners",1,2,321,"Female","30-39","No","Master's degree or higher","1",5,4,3,"Citizenship and rights","Other / Prefer not to answer","1","12.481"
"Other Syrians","Free housing","Ban on hijab in schools","After 5 years","After 3 months","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Bad country for Syrians",0,2,322,"Male","18 - 29","No","Some college but no degree","0",5,1,6,"Asylum policies (e.g. family reunification, resettlement)","Canada","1","7.313"
"Friends","Generous support for refugees","No religious bans","After 8 years","Immediately","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Bad country for Syrians",0,2,326,"Male",NA,"No","Bachelor's degree (4-year)","0",8,1,2,"Citizenship and rights","Canada","1","82.392"
"Friends","Generous support for refugees","No religious bans","After 3 years","Immediately","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","Has many well-known brands",1,2,328,"Male","30-39","Yes","Bachelor's degree (4-year)","0",NA,1,3,"Education opportunities","UK","1","30.737"
"Family","Free healthcare","Ban on immigration from Muslim countries","After 5 years","After 12 months","Half of all Syrians employed after one year","1 in 4 people oppose taking in refugees","Bad country for Syrians",0,2,331,"Female","30-39","No","Some college but no degree","0",7,1,3,"Language and culture","Canada","1","42.81"
"No contacts","Free housing","Ban on nikab and burka in public","After 8 years","Immediately","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","Welcoming to foreigners",1,2,333,"Female","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",6,6,5,"Asylum policies (e.g. family reunification, resettlement)","Other / Prefer not to answer","1","27.808"
"Other Syrians","Free housing","Ban on immigration from Muslim countries","After 5 years","Immediately","Half of all Syrians employed after one year","Half the population supports restricting immigration of Muslims","Has many well-known brands",1,2,334,"Male","30-39","Yes","Diploma or technical certificate (2-year)","0",8,2,3,"Friends / family / relatives in the country","USA","1","38.58"
"Family","Free healthcare","No religious bans","After 5 years","Immediately","1 in 4 Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Has many well-known brands",1,2,335,"Female","18 - 29","No","Some college but no degree","1",4,3,3,"Education opportunities","Canada","1","123.313"
"Friends","No minimum wage","Ban on immigration from Muslim countries","After 5 years","After 12 months","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Bad country for Syrians",0,2,336,"Male","18 - 29","No","Bachelor's degree (4-year)","0",2,1,4,"Employment / career opportunities","UK","1","93.966"
"Friends","Generous support for refugees","Ban on hijab in schools","After 5 years","Immediately","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","Has many well-known brands",0,2,337,"Male","18 - 29","No","Some college but no degree","0",2,1,4,"Citizenship and rights","Canada","1","59.301"
"Family","No minimum wage","Ban on immigration from Muslim countries","After 3 years","Immediately","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Welcoming to foreigners",0,2,341,"Male","18 - 29","No","Diploma or technical certificate (2-year)","0",6,3,3,"Education opportunities","UK","1","59.181"
"Friends","No minimum wage","Ban on hijab in schools","After 3 years","After 3 months","Half of all Syrians employed after one year","3 in 4 people support taking in refugees","Welcoming to foreigners",0,2,342,"Male","18 - 29","Yes","Less than high school degree","0",2,1,3,"Citizenship and rights","UK","1","21.078"
"No contacts","Free housing","Ban on immigration from Muslim countries","After 5 years","After 12 months","Half of all Syrians employed after one year","Half the population supports restricting immigration of Muslims","Good country for Syrians",0,2,348,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",8,3,5,"Language and culture","Canada","1","12.265"
"No contacts","Free housing","Ban on hijab in schools","After 8 years","Immediately","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","Bad country for Syrians",0,2,350,"Female","18 - 29","No","Diploma or technical certificate (2-year)","0",7,4,3,"Education opportunities","Canada","1","103.969"
"Other Syrians","Generous support for refugees","No religious bans","After 5 years","Immediately","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Bad country for Syrians",0,2,352,"Male","18 - 29","Yes","Some college but no degree","0",6,1,4,"Education opportunities","Canada","1","61.385"
"No contacts","Free housing","Ban on immigration from Muslim countries","After 3 years","After 3 months","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Bad country for Syrians",1,2,357,"Female","18 - 29","No","Bachelor's degree (4-year)","1",6,3,3,"Education opportunities","Canada","1","36.284"
"No contacts","No minimum wage","Ban on immigration from Muslim countries","After 3 years","After 12 months","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","Has many well-known brands",1,2,360,"Male","18 - 29","No","Diploma or technical certificate (2-year)","0",2,1,2,"Citizenship and rights","Canada","1","70.267"
"Family","Generous support for refugees","Ban on immigration from Muslim countries","After 8 years","After 3 months","1 in 4 Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Bad country for Syrians",0,2,361,"Female","30-39","No","Master's degree or higher","1",5,1,NA,"Employment / career opportunities","Canada","1","29.14"
"No contacts","Free healthcare","Ban on immigration from Muslim countries","After 3 years","After 3 months","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Good country for Syrians",0,2,362,"Female","18 - 29","Yes","Bachelor's degree (4-year)","1",5,1,3,"Friends / family / relatives in the country","Canada","1","42.5"
"Other Syrians","No minimum wage","Ban on hijab in schools","After 5 years","After 3 months","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","Good country for Syrians",0,2,366,"Male","30-39","Yes","High school graduate (Baccalaureate / Tawjihi)","0",3,3,4,"Employment / career opportunities","USA","1","8.78"
"Family","Free healthcare","No religious bans","After 8 years","After 12 months","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Bad country for Syrians",0,2,367,"Male","30-39","No","Some college but no degree","0",2,4,5,"Citizenship and rights","UK","1","14.769"
"Friends","Free housing","No religious bans","After 3 years","After 3 months","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Has many well-known brands",1,2,369,"Male","30-39","Yes","Bachelor's degree (4-year)","0",4,1,2,"Asylum policies (e.g. family reunification, resettlement)","Canada","1","4.697"
"Family","Free housing","Ban on immigration from Muslim countries","After 3 years","After 12 months","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Has many well-known brands",1,2,372,"Male","30-39","Yes","Bachelor's degree (4-year)","0",7,3,6,"Employment / career opportunities","Canada","1","11.14"
"No contacts","Free healthcare","No religious bans","After 8 years","Immediately","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Welcoming to foreigners",0,2,374,"Male","30-39","Yes","Bachelor's degree (4-year)","0",2,1,4,"Citizenship and rights","Canada","1","7.814"
"Family","Free housing","Ban on hijab in schools","After 5 years","After 3 months","Half of all Syrians employed after one year","Half the population supports restricting immigration of Muslims","Good country for Syrians",1,2,378,"Female","18 - 29","No","Bachelor's degree (4-year)","0",6,3,6,"Don't know / Prefer not to answer","Germany","1","26.783"
"No contacts","Generous support for refugees","Ban on hijab in schools","After 3 years","Immediately","Half of all Syrians employed after one year","3 in 4 people support taking in refugees","Bad country for Syrians",0,2,379,"Male","18 - 29","No","Some college but no degree","0",NA,1,4,"Language and culture","USA","1","16.608"
"No contacts","Free housing","Ban on nikab and burka in public","After 8 years","After 12 months","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Welcoming to foreigners",0,2,381,"Female","18 - 29","Yes","Bachelor's degree (4-year)","0",4,3,6,"Employment / career opportunities","Canada","1","88.251"
"Friends","Free healthcare","Ban on nikab and burka in public","After 3 years","After 12 months","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Has many well-known brands",0,2,387,"Male","18 - 29","Yes","Diploma or technical certificate (2-year)","0",8,4,5,"Language and culture","Canada","1","80.779"
"No contacts","Free housing","Ban on immigration from Muslim countries","After 5 years","After 3 months","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Bad country for Syrians",0,2,390,"Female","40-49","Yes","High school graduate (Baccalaureate / Tawjihi)","1",7,1,5,"Citizenship and rights","Canada","1","19.845"
"Friends","Generous support for refugees","Ban on nikab and burka in public","After 3 years","After 12 months","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Welcoming to foreigners",1,2,393,"Male","30-39","Yes","Bachelor's degree (4-year)","1",5,1,6,"Language and culture","Canada","1","3.006"
"Family","Free housing","Ban on hijab in schools","After 5 years","After 12 months","Half of all Syrians employed after one year","1 in 4 people oppose taking in refugees","Bad country for Syrians",1,2,398,"Male","30-39","Yes","Less than high school degree","0",2,1,6,"Asylum policies (e.g. family reunification, resettlement)","UK","1","32.941"
"No contacts","Generous support for refugees","No religious bans","After 8 years","After 3 months","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Has many well-known brands",1,2,400,"Female","30-39","Yes","Diploma or technical certificate (2-year)","0",2,1,NA,"Asylum policies (e.g. family reunification, resettlement)","Germany","1","100.854"
"Family","No minimum wage","No religious bans","After 5 years","After 3 months","Half of all Syrians employed after one year","1 in 4 people oppose taking in refugees","Good country for Syrians",0,2,401,"Male","30-39","Yes","Bachelor's degree (4-year)","0",2,1,5,"Citizenship and rights","France","1","45.768"
"Other Syrians","Generous support for refugees","Ban on immigration from Muslim countries","After 8 years","Immediately","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Good country for Syrians",0,2,402,"Male","18 - 29","No","Bachelor's degree (4-year)","0",8,4,6,"Employment / career opportunities","Germany","1","55.338"
"Friends","Free healthcare","Ban on hijab in schools","After 8 years","After 3 months","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Has many well-known brands",0,2,403,"Male","18 - 29","No","Some college but no degree","0",8,4,5,"Employment / career opportunities","USA","1","52.15"
"Other Syrians","No minimum wage","Ban on nikab and burka in public","After 5 years","Immediately","Half of all Syrians employed after one year","1 in 4 people oppose taking in refugees","Good country for Syrians",1,2,404,"Male","18 - 29","No","Some college but no degree","0",4,1,2,"Education opportunities","Germany","1","52.129"
"Friends","Free healthcare","Ban on hijab in schools","After 8 years","After 3 months","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","Welcoming to foreigners",0,2,406,"Male","40-49","Yes","High school graduate (Baccalaureate / Tawjihi)","0",7,1,5,"Social benefits and healthcare","Canada","1","50.461"
"No contacts","Generous support for refugees","Ban on nikab and burka in public","After 3 years","Immediately","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","Bad country for Syrians",0,2,407,"Male","40-49","Yes","High school graduate (Baccalaureate / Tawjihi)","0",8,3,6,"Education opportunities","Canada","1","48.315"
"Friends","Generous support for refugees","Ban on immigration from Muslim countries","After 5 years","After 12 months","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Bad country for Syrians",1,2,408,"Male","18 - 29","No","Bachelor's degree (4-year)","0",8,1,2,"Citizenship and rights","Canada","1","25.627"
"No contacts","Generous support for refugees","No religious bans","After 5 years","Immediately","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Welcoming to foreigners",1,2,411,"Male","30-39","Yes","Diploma or technical certificate (2-year)","1",2,1,3,"Asylum policies (e.g. family reunification, resettlement)","UK","1","60.197"
"Family","Free healthcare","Ban on nikab and burka in public","After 8 years","After 3 months","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","Welcoming to foreigners",0,2,413,"Female","30-39","No","Diploma or technical certificate (2-year)","0",5,1,6,"Citizenship and rights","France","1","24.702"
"Friends","Free healthcare","Ban on nikab and burka in public","After 8 years","Immediately","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","Bad country for Syrians",0,2,414,"Prefer not to answer","18 - 29","Yes","Some college but no degree","0",5,4,NA,"Education opportunities","Other / Prefer not to answer","1","16.418"
"No contacts","Free healthcare","Ban on nikab and burka in public","After 5 years","Immediately","1 in 4 Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Welcoming to foreigners",0,2,415,"Male","40-49","Yes","Bachelor's degree (4-year)","0",2,1,2,"Employment / career opportunities","UK","1","43.114"
"Friends","No minimum wage","Ban on nikab and burka in public","After 3 years","After 3 months","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Bad country for Syrians",0,2,419,"Female","30-39","No","High school graduate (Baccalaureate / Tawjihi)","0",8,4,6,"Employment / career opportunities","Canada","1","4.455"
"Other Syrians","Free housing","Ban on nikab and burka in public","After 3 years","After 12 months","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Good country for Syrians",1,2,423,"Male","18 - 29","No","Some college but no degree","0",7,1,NA,"Employment / career opportunities","UK","1","8.81"
"Family","No minimum wage","Ban on immigration from Muslim countries","After 3 years","After 3 months","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","Good country for Syrians",0,2,429,"Female","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","1",4,1,4,"Asylum policies (e.g. family reunification, resettlement)","Canada","1","17.066"
"Other Syrians","Generous support for refugees","No religious bans","After 8 years","After 3 months","Half of all Syrians employed after one year","3 in 4 people support taking in refugees","Welcoming to foreigners",1,2,430,"Female","18 - 29","No","Bachelor's degree (4-year)","1",2,1,5,"Citizenship and rights","Germany","1","126.821"
"Other Syrians","No minimum wage","Ban on immigration from Muslim countries","After 3 years","After 12 months","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Welcoming to foreigners",1,2,432,"Male","18 - 29","No","Bachelor's degree (4-year)","1",2,3,4,"Citizenship and rights","Canada","1","66.444"
"Friends","No minimum wage","Ban on immigration from Muslim countries","After 8 years","Immediately","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Good country for Syrians",1,2,433,"Male","18 - 29","No","Some college but no degree","0",2,1,NA,"Education opportunities","UK","1","41.594"
"No contacts","Free healthcare","Ban on immigration from Muslim countries","After 3 years","Immediately","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Good country for Syrians",1,2,435,"Female","18 - 29","No","Bachelor's degree (4-year)","0",5,2,6,"Friends / family / relatives in the country","Germany","1","111.547"
"Other Syrians","Free housing","Ban on nikab and burka in public","After 8 years","After 12 months","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","Welcoming to foreigners",0,2,437,"Male","18 - 29","No","Some college but no degree","0",4,3,6,"Education opportunities","Germany","1","25.01"
"Friends","No minimum wage","Ban on nikab and burka in public","After 8 years","Immediately","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","Good country for Syrians",1,2,439,"Male","30-39","Yes","Bachelor's degree (4-year)","0",NA,3,5,"Education opportunities","Canada","1","36.202"
"Family","Free healthcare","Ban on immigration from Muslim countries","After 8 years","Immediately","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Bad country for Syrians",0,2,441,"Male","18 - 29","No","Diploma or technical certificate (2-year)","0",2,1,3,"Citizenship and rights","Canada","1","13.585"
"Friends","Free healthcare","Ban on nikab and burka in public","After 3 years","Immediately","1 in 4 Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Good country for Syrians",1,2,442,"Female","18 - 29","No","Some college but no degree","0",3,1,5,"Education opportunities","Canada","1","4.702"
"Friends","Free healthcare","No religious bans","After 5 years","Immediately","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Welcoming to foreigners",1,2,444,"Female","18 - 29","No","Some college but no degree","0",5,3,5,"Asylum policies (e.g. family reunification, resettlement)","Germany","1","8.469"
"Family","Generous support for refugees","Ban on hijab in schools","After 5 years","Immediately","Half of all Syrians employed after one year","Half the population supports restricting immigration of Muslims","Bad country for Syrians",0,2,447,"Male","30-39","No","Some college but no degree","0",7,1,4,"Citizenship and rights","France","1","42.287"
"Friends","No minimum wage","Ban on hijab in schools","After 3 years","After 12 months","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Has many well-known brands",0,2,448,"Female","18 - 29","No","Bachelor's degree (4-year)","0",8,1,6,"Citizenship and rights","Canada","1","27.547"
"Other Syrians","Generous support for refugees","Ban on hijab in schools","After 3 years","Immediately","Half of all Syrians employed after one year","Half the population supports restricting immigration of Muslims","Has many well-known brands",1,2,449,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",2,1,3,"Education opportunities","USA","1","23.133"
