"contacts","social","laws","citizenship","workpermit","employment","attitude","country","destination","candidate","c.same","id","gender","age","children","educ","prewar","satisfaction","migmotivation","miglikely","prefchar","prefcountry","incentivised","t_choice"
"No contacts","Generous support for refugees","Ban on hijab in schools","After 3 years","Immediately","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","France",1,1,0,522,"Male","18 - 29","No","Bachelor's degree (4-year)","0",4,1,5,"Citizenship and rights","UK","1","28.666"
"Family","Free healthcare","Ban on immigration from Muslim countries","After 8 years","After 12 months","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","France",0,1,0,523,"Male","30-39","No","Bachelor's degree (4-year)","1",5,1,4,"Citizenship and rights","UK","1","19.55"
"Family","Free healthcare","No religious bans","After 8 years","After 3 months","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","United States of America (USA)",1,1,0,526,"Male","18 - 29","Yes","Some college but no degree","0",4,1,3,"Citizenship and rights","Canada","1","43.714"
"Friends","Free healthcare","No religious bans","After 3 years","After 3 months","Half of all Syrians employed after one year","1 in 4 people oppose taking in refugees","France",0,1,1,527,"Female","18 - 29","No","Some college but no degree","0",2,1,5,"Education opportunities","UK","1","7.131"
"No contacts","Generous support for refugees","No religious bans","After 3 years","Immediately","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","United Kingdom (UK)",1,1,0,529,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",2,1,5,"Education opportunities","USA","1","103.598"
"Friends","Free housing","Ban on nikab and burka in public","After 8 years","Immediately","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","Germany",1,1,0,530,"Male","18 - 29","No","Diploma or technical certificate (2-year)","0",2,1,3,"Asylum policies (e.g. family reunification, resettlement)","Canada","1","49.956"
"Friends","Free housing","Ban on nikab and burka in public","After 5 years","Immediately","Half of all Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","France",0,1,0,531,"Male","18 - 29","No","Bachelor's degree (4-year)","0",4,1,5,"Education opportunities","Other / Prefer not to answer","1","21.306"
"Other Syrians","Generous support for refugees","Ban on immigration from Muslim countries","After 3 years","Immediately","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","France",1,1,1,532,"Female","18 - 29","No","Some college but no degree","0",8,4,5,"Social benefits and healthcare","UK","1","32.775"
"Family","Free healthcare","Ban on hijab in schools","After 3 years","Immediately","1 in 4 Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","United Kingdom (UK)",0,1,0,533,"Male","18 - 29","No","Diploma or technical certificate (2-year)","0",7,1,3,"Good reputation","Canada","1","15.161"
"Other Syrians","Free healthcare","Ban on nikab and burka in public","After 3 years","Immediately","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Germany",1,1,0,534,"Male","18 - 29","No","Some college but no degree","0",6,3,5,"Employment / career opportunities","USA","1","53.153"
"Other Syrians","Generous support for refugees","Ban on immigration from Muslim countries","After 5 years","After 3 months","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","United Kingdom (UK)",0,1,1,535,"Male","30-39","Yes","Some college but no degree","0",8,1,3,"Education opportunities","Canada","1","35.192"
"Other Syrians","No minimum wage","Ban on nikab and burka in public","After 8 years","Immediately","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","France",1,1,0,538,"Female","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",6,1,2,"Education opportunities","USA","1","10.297"
"Friends","Free healthcare","Ban on nikab and burka in public","After 3 years","After 3 months","Half of all Syrians employed after one year","3 in 4 people support taking in refugees","France",1,1,0,541,"Female","30-39","Yes","High school graduate (Baccalaureate / Tawjihi)","1",8,1,NA,"Citizenship and rights","Canada","1","41.355"
"Friends","Generous support for refugees","Ban on immigration from Muslim countries","After 5 years","After 3 months","Half of all Syrians employed after one year","3 in 4 people support taking in refugees","United Kingdom (UK)",0,1,0,545,"Male","18 - 29","Yes","Less than high school degree","1",8,1,6,"Education opportunities","Canada","1","55.591"
"Other Syrians","Free healthcare","Ban on immigration from Muslim countries","After 3 years","After 3 months","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","Canada",0,1,1,546,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",8,1,2,"Education opportunities","Canada","1","57.531"
"Other Syrians","Generous support for refugees","Ban on hijab in schools","After 5 years","After 12 months","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","United States of America (USA)",0,1,1,551,"Female","18 - 29","No","Bachelor's degree (4-year)","0",8,4,6,"Citizenship and rights","Canada","1","22.247"
"No contacts","Free housing","No religious bans","After 8 years","After 12 months","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Germany",0,1,0,552,"Male","18 - 29","No","Some college but no degree","0",4,1,5,"Asylum policies (e.g. family reunification, resettlement)","USA","1","6.048"
"No contacts","No minimum wage","No religious bans","After 8 years","After 12 months","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","France",0,1,0,553,"Male","18 - 29","No","Diploma or technical certificate (2-year)","1",2,3,5,"Asylum policies (e.g. family reunification, resettlement)","USA","1","6.28"
"Friends","Free housing","Ban on hijab in schools","After 3 years","Immediately","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","Germany",0,1,0,554,"Female","30-39","No","Some college but no degree","0",7,3,3,"Education opportunities","Canada","1","146.232"
"No contacts","No minimum wage","Ban on hijab in schools","After 5 years","After 3 months","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","France",0,1,0,555,"Female","18 - 29","No","Bachelor's degree (4-year)","0",5,1,5,"Citizenship and rights","UK","1","58.105"
"Family","Free healthcare","No religious bans","After 3 years","After 12 months","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","United Kingdom (UK)",1,1,0,556,"Female","40-49","Yes","Bachelor's degree (4-year)","0",4,1,5,"Education opportunities","UK","1","91.031"
"Family","Free healthcare","Ban on hijab in schools","After 3 years","Immediately","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Canada",1,1,1,558,"Female","30-39","Yes","Bachelor's degree (4-year)","0",2,1,6,"Citizenship and rights","UK","1","47.858"
"Other Syrians","Free healthcare","Ban on nikab and burka in public","After 5 years","After 12 months","1 in 4 Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","France",0,1,0,561,"Female","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",6,1,5,"Education opportunities","USA","1","41.372"
"Friends","Free housing","Ban on immigration from Muslim countries","After 8 years","Immediately","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","United Kingdom (UK)",1,1,0,563,"Female","18 - 29","No","Some college but no degree","0",7,1,4,"Education opportunities","UK","1","17.82"
"No contacts","Generous support for refugees","Ban on hijab in schools","After 8 years","After 3 months","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","France",0,1,0,564,"Male","18 - 29","No","Bachelor's degree (4-year)","0",8,1,3,"Citizenship and rights","Canada","1","127.585"
"No contacts","Free healthcare","Ban on nikab and burka in public","After 3 years","After 3 months","Half of all Syrians employed after one year","3 in 4 people support taking in refugees","France",0,1,0,567,"Female","18 - 29","No","Some college but no degree","1",8,4,3,"Citizenship and rights","Canada","1","39.115"
"Family","No minimum wage","No religious bans","After 3 years","Immediately","Half of all Syrians employed after one year","1 in 4 people oppose taking in refugees","Canada",1,1,0,571,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",5,1,NA,"Education opportunities","Canada","1","16.287"
"Family","Free healthcare","Ban on nikab and burka in public","After 8 years","After 12 months","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","Germany",1,1,0,572,"Male","30-39","Yes","Bachelor's degree (4-year)","0",2,1,5,"Asylum policies (e.g. family reunification, resettlement)","Canada","1","11.17"
"Other Syrians","Generous support for refugees","Ban on hijab in schools","After 5 years","Immediately","Half of all Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","United Kingdom (UK)",0,1,0,573,"Male","18 - 29","No","Bachelor's degree (4-year)","1",2,1,5,"Citizenship and rights","Canada","1","14.089"
"Family","Free healthcare","No religious bans","After 3 years","After 12 months","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","United States of America (USA)",1,1,1,580,"Male","18 - 29","No","Less than high school degree","0",2,1,3,"Citizenship and rights","USA","1","4.786"
"Family","Free healthcare","Ban on nikab and burka in public","After 8 years","Immediately","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","France",0,1,1,585,"Male","18 - 29","Yes","Some college but no degree","0",5,1,2,"Citizenship and rights","USA","1","47.191"
"No contacts","Generous support for refugees","Ban on nikab and burka in public","After 8 years","After 12 months","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","United Kingdom (UK)",1,1,0,588,"Male","30-39","Yes","Some college but no degree","0",4,3,5,"Education opportunities","Germany","1","68.566"
"No contacts","No minimum wage","Ban on hijab in schools","After 5 years","Immediately","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","United States of America (USA)",0,1,0,590,"Male","40-49","Yes","Diploma or technical certificate (2-year)","0",8,4,5,"Citizenship and rights","Other / Prefer not to answer","1","24.388"
"Other Syrians","Free healthcare","Ban on hijab in schools","After 3 years","Immediately","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","France",0,1,0,592,"Female","18 - 29","Yes","Some college but no degree","0",5,2,3,"Citizenship and rights","UK","1","14.272"
"Other Syrians","Free healthcare","Ban on nikab and burka in public","After 3 years","Immediately","Half of all Syrians employed after one year","3 in 4 people support taking in refugees","France",0,1,0,595,"Male","30-39","Yes","Bachelor's degree (4-year)","0",8,1,6,"Citizenship and rights","Canada","1","97.016"
"Family","Free healthcare","Ban on nikab and burka in public","After 3 years","Immediately","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","United Kingdom (UK)",1,1,0,596,"Female","18 - 29","No","Some college but no degree","0",5,3,3,"Employment / career opportunities","Canada","1","28.621"
"Family","No minimum wage","Ban on hijab in schools","After 5 years","After 12 months","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Canada",0,1,1,597,"Male","18 - 29","No","Some college but no degree","0",6,1,5,"Citizenship and rights","UK","1","32.455"
"No contacts","Free housing","Ban on nikab and burka in public","After 3 years","Immediately","1 in 4 Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","France",0,1,0,600,"Male","18 - 29","No","Bachelor's degree (4-year)","0",7,1,4,"Employment / career opportunities","Canada","1","60.972"
"Other Syrians","Free housing","Ban on hijab in schools","After 8 years","After 12 months","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","Germany",0,1,0,603,"Female","18 - 29","No","Bachelor's degree (4-year)","0",6,4,5,"Education opportunities","Canada","1","26.764"
"Friends","Generous support for refugees","Ban on hijab in schools","After 3 years","After 3 months","Half of all Syrians employed after one year","1 in 4 people oppose taking in refugees","France",0,1,0,605,"Male","30-39","Yes","Bachelor's degree (4-year)","0",8,3,5,"Citizenship and rights","Germany","1","46.388"
"No contacts","Free healthcare","No religious bans","After 5 years","Immediately","Half of all Syrians employed after one year","Half the population supports restricting immigration of Muslims","France",1,1,0,608,"Male","50-59","Yes","Bachelor's degree (4-year)","0",4,1,5,"Asylum policies (e.g. family reunification, resettlement)","Canada","1","55.516"
"Family","Generous support for refugees","Ban on nikab and burka in public","After 8 years","Immediately","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","United States of America (USA)",1,1,1,614,"Male","18 - 29","No","Bachelor's degree (4-year)","0",2,1,3,"Citizenship and rights","UK","1","45.851"
"No contacts","No minimum wage","No religious bans","After 3 years","After 12 months","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","France",0,1,0,616,"Male","30-39","No","High school graduate (Baccalaureate / Tawjihi)","1",8,1,5,"Citizenship and rights","Germany","1","11.162"
"Friends","Free housing","Ban on hijab in schools","After 8 years","After 12 months","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","United Kingdom (UK)",1,1,1,619,"Male","30-39","Yes","Some college but no degree","1",6,1,2,"Good reputation","Canada","1","91.536"
"Friends","Free healthcare","Ban on immigration from Muslim countries","After 8 years","After 3 months","Half of all Syrians employed after one year","3 in 4 people support taking in refugees","Canada",1,1,0,620,"Male","30-39","Yes","Bachelor's degree (4-year)","0",5,2,NA,"Education opportunities","UK","1","21.709"
"Other Syrians","Generous support for refugees","Ban on nikab and burka in public","After 8 years","After 12 months","Half of all Syrians employed after one year","Half the population supports restricting immigration of Muslims","United States of America (USA)",1,1,0,621,"Male","18 - 29","Yes","High school graduate (Baccalaureate / Tawjihi)","0",5,1,3,"Citizenship and rights","Canada","1","15.109"
"No contacts","Generous support for refugees","Ban on immigration from Muslim countries","After 5 years","After 12 months","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","United Kingdom (UK)",1,1,0,623,"Male","18 - 29","No","Bachelor's degree (4-year)","0",8,1,2,"Citizenship and rights","Other / Prefer not to answer","1","7.881"
"Friends","Free housing","Ban on hijab in schools","After 5 years","After 12 months","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","Germany",1,1,0,626,"Female","18 - 29","No","Bachelor's degree (4-year)","1",8,1,5,"Citizenship and rights","Canada","1","32.197"
"Family","Free healthcare","No religious bans","After 8 years","After 3 months","Half of all Syrians employed after one year","Half the population supports restricting immigration of Muslims","United Kingdom (UK)",0,1,0,630,"Male","30-39","Yes","Less than high school degree","0",8,1,NA,"Citizenship and rights","Canada","1","28.309"
"No contacts","Free healthcare","No religious bans","After 3 years","After 12 months","Half of all Syrians employed after one year","Half the population supports restricting immigration of Muslims","Canada",1,1,0,631,"Male","30-39","Yes","Diploma or technical certificate (2-year)","0",2,1,6,"Employment / career opportunities","UK","1","20.883"
"Friends","Free healthcare","Ban on nikab and burka in public","After 8 years","After 3 months","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","United States of America (USA)",1,1,0,634,"Male","18 - 29","No","Diploma or technical certificate (2-year)","0",5,1,5,"Employment / career opportunities","Canada","1","140.418"
"Other Syrians","Free housing","No religious bans","After 3 years","Immediately","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","Canada",1,1,0,637,"Male","18 - 29","Prefer not to answer","Bachelor's degree (4-year)","0",6,1,2,"Education opportunities","UK","1","69.45"
"Family","Generous support for refugees","No religious bans","After 5 years","After 12 months","Half of all Syrians employed after one year","1 in 4 people oppose taking in refugees","United Kingdom (UK)",0,1,0,640,"Female","18 - 29","No","Some college but no degree","0",2,1,3,"Education opportunities","Canada","1","54.668"
"Friends","Free housing","Ban on nikab and burka in public","After 8 years","Immediately","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Canada",1,1,1,641,"Male","40-49","No","Some college but no degree","0",2,1,2,"Citizenship and rights","USA","1","26.119"
"No contacts","Generous support for refugees","Ban on hijab in schools","After 5 years","Immediately","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","United Kingdom (UK)",0,1,0,642,"Male","30-39","No","Bachelor's degree (4-year)","0",2,1,6,"Citizenship and rights","Canada","1","27.436"
"Family","Free housing","Ban on hijab in schools","After 8 years","Immediately","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","United Kingdom (UK)",0,1,0,643,"Female","18 - 29","Yes","Diploma or technical certificate (2-year)","0",2,1,NA,"Citizenship and rights","Canada","1","35.287"
"No contacts","Free housing","Ban on hijab in schools","After 8 years","After 3 months","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","United Kingdom (UK)",1,1,0,653,"Female","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",2,1,2,"Education opportunities","Canada","1","70.809"
"Family","Generous support for refugees","Ban on hijab in schools","After 8 years","Immediately","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","United States of America (USA)",1,1,0,655,"Female","18 - 29","No","Less than high school degree","0",2,1,2,"Education opportunities","Canada","1","69.872"
"Other Syrians","Free housing","Ban on hijab in schools","After 3 years","After 3 months","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","France",1,1,0,657,"Male","18 - 29","No","Diploma or technical certificate (2-year)","0",3,NA,NA,"Education opportunities","UK","1","27.264"
"Friends","No minimum wage","No religious bans","After 3 years","Immediately","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","United States of America (USA)",1,1,0,658,"Female","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",4,4,3,"Education opportunities","USA","1","14.593"
"Other Syrians","Free healthcare","Ban on nikab and burka in public","After 3 years","Immediately","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","Germany",1,1,0,660,"Male","18 - 29","No","Some college but no degree","0",6,3,5,"Citizenship and rights","Canada","1","13.391"
"Other Syrians","Free housing","Ban on immigration from Muslim countries","After 8 years","After 3 months","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","Canada",1,1,0,661,"Male","18 - 29","No","Some college but no degree","0",5,1,3,"Citizenship and rights","Canada","1","42.928"
"No contacts","Free housing","Ban on nikab and burka in public","After 8 years","After 3 months","Half of all Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Canada",1,1,1,663,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",5,2,3,"Friends / family / relatives in the country","France","1","12.157"
"No contacts","Free housing","No religious bans","After 3 years","Immediately","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","France",0,1,0,664,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",4,1,2,"Employment / career opportunities","UK","1","136.526"
"Other Syrians","No minimum wage","No religious bans","After 3 years","After 12 months","Half of all Syrians employed after one year","1 in 4 people oppose taking in refugees","France",1,1,1,666,"Male","18 - 29","No","Some college but no degree","0",2,1,NA,"Citizenship and rights","Canada","1","46.585"
"Other Syrians","Free healthcare","Ban on immigration from Muslim countries","After 8 years","After 12 months","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","United Kingdom (UK)",0,1,1,669,"Male","40-49","Yes","Master's degree or higher","0",4,1,NA,"Citizenship and rights","UK","1","81.337"
"Friends","Free healthcare","Ban on immigration from Muslim countries","After 3 years","After 12 months","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","France",0,1,0,671,"Male","18 - 29","No","Less than high school degree","1",7,3,5,"Citizenship and rights","Canada","1","29.835"
"Family","Free healthcare","Ban on immigration from Muslim countries","After 3 years","Immediately","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","United States of America (USA)",1,1,0,674,"Male","18 - 29","No","Some college but no degree","0",6,2,3,"Citizenship and rights","Other / Prefer not to answer","1","94.548"
"Friends","Free housing","No religious bans","After 5 years","After 3 months","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","United Kingdom (UK)",0,1,0,679,"Female","40-49","No","Master's degree or higher","0",6,3,5,"Good reputation","Germany","1","24.135"
"Other Syrians","Free housing","Ban on hijab in schools","After 3 years","After 3 months","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","United States of America (USA)",1,1,0,685,"Female","18 - 29","No","Bachelor's degree (4-year)","0",7,1,6,"Citizenship and rights","Canada","1","41.801"
"Family","Generous support for refugees","No religious bans","After 8 years","After 3 months","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","United States of America (USA)",0,1,0,686,"Male","18 - 29","No","Bachelor's degree (4-year)","1",2,1,6,"Asylum policies (e.g. family reunification, resettlement)","UK","1","30.808"
"Family","Free healthcare","Ban on hijab in schools","After 3 years","After 12 months","1 in 4 Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","France",0,1,0,688,"Male","30-39","No","Bachelor's degree (4-year)","0",4,1,5,"Employment / career opportunities","UK","1","33.715"
"Family","Free healthcare","Ban on hijab in schools","After 5 years","After 3 months","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","United Kingdom (UK)",1,1,0,691,"Female","30-39","Yes","Diploma or technical certificate (2-year)","0",2,1,2,"Asylum policies (e.g. family reunification, resettlement)","Canada","1","47.953"
"Family","Free healthcare","Ban on immigration from Muslim countries","After 3 years","After 3 months","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","Germany",1,1,0,697,"Male","18 - 29","No","Diploma or technical certificate (2-year)","0",2,1,3,"Education opportunities","UK","1","101.389"
"Friends","Generous support for refugees","Ban on immigration from Muslim countries","After 5 years","Immediately","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Canada",0,1,0,698,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",7,1,2,"Education opportunities","Other / Prefer not to answer","1","23.345"
"Friends","Free healthcare","Ban on nikab and burka in public","After 8 years","After 12 months","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Germany",0,1,0,701,"Male","30-39","No","Bachelor's degree (4-year)","1",8,6,3,"Language and culture","UK","1","29.846"
"Other Syrians","Free housing","No religious bans","After 3 years","After 3 months","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","United Kingdom (UK)",1,1,1,703,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",2,1,NA,"Citizenship and rights","UK","1","8.654"
"No contacts","Free housing","No religious bans","After 3 years","Immediately","Half of all Syrians employed after one year","1 in 4 people oppose taking in refugees","Germany",1,1,0,704,"Male","40-49","Yes","High school graduate (Baccalaureate / Tawjihi)","1",5,3,4,"Education opportunities","Canada","1","33.401"
"Other Syrians","Generous support for refugees","Ban on hijab in schools","After 3 years","After 12 months","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","Canada",0,1,1,705,"Prefer not to answer","Prefer not to answer","No","Bachelor's degree (4-year)","0",2,1,4,"Citizenship and rights","Canada","1","20.142"
"No contacts","Free housing","Ban on nikab and burka in public","After 5 years","After 12 months","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","United Kingdom (UK)",0,1,1,706,"Male","18 - 29","No","Some college but no degree","0",8,3,4,"Employment / career opportunities","USA","1","25.11"
"Family","Free healthcare","No religious bans","After 8 years","After 12 months","1 in 4 Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Germany",0,1,0,707,"Male","18 - 29","Yes","Some college but no degree","0",2,1,5,"Citizenship and rights","Canada","1","27.544"
"Family","Free housing","Ban on nikab and burka in public","After 3 years","After 12 months","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Canada",1,1,0,712,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",7,1,5,"Education opportunities","Canada","1","4.192"
"Family","Free housing","Ban on hijab in schools","After 8 years","After 12 months","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Germany",0,1,0,713,"Female","18 - 29","Yes","High school graduate (Baccalaureate / Tawjihi)","0",5,4,5,"Education opportunities","Canada","1","5.816"
"Other Syrians","Free healthcare","Ban on immigration from Muslim countries","After 5 years","Immediately","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Canada",1,1,0,719,"Female","18 - 29","No","Bachelor's degree (4-year)","0",8,4,NA,"Friends / family / relatives in the country","Germany","1","92.409"
"Family","Generous support for refugees","Ban on immigration from Muslim countries","After 5 years","Immediately","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","United Kingdom (UK)",1,1,0,720,"Male","18 - 29","No","Less than high school degree","0",4,1,5,"Citizenship and rights","Canada","1","44.717"
"Family","Free healthcare","Ban on nikab and burka in public","After 8 years","After 12 months","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Canada",1,1,0,721,"Male","18 - 29","No","Diploma or technical certificate (2-year)","0",NA,3,6,"Education opportunities","Canada","1","29.123"
"Other Syrians","Free housing","No religious bans","After 3 years","After 3 months","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","United States of America (USA)",1,1,0,723,"Male","18 - 29","No","Less than high school degree","0",7,1,3,"Education opportunities","Canada","1","14.487"
"Family","Free healthcare","Ban on hijab in schools","After 8 years","After 3 months","Half of all Syrians employed after one year","3 in 4 people support taking in refugees","United States of America (USA)",0,1,0,724,"Female","18 - 29","No","Bachelor's degree (4-year)","0",6,3,5,"Education opportunities","Canada","1","363.133"
"Family","Generous support for refugees","No religious bans","After 8 years","Immediately","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","United Kingdom (UK)",1,1,0,725,"Male","40-49","Yes","Diploma or technical certificate (2-year)","0",7,1,NA,"Citizenship and rights","Canada","1","4.367"
"Family","Free healthcare","No religious bans","After 8 years","Immediately","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","United States of America (USA)",0,1,0,726,"Female","18 - 29","No","Some college but no degree","0",2,1,5,"Employment / career opportunities","Canada","1","5.375"
"Family","No minimum wage","Ban on hijab in schools","After 5 years","Immediately","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","France",0,1,1,729,"Female","18 - 29","No","Diploma or technical certificate (2-year)","0",2,3,2,"Employment / career opportunities","Canada","1","97.188"
"No contacts","Free housing","No religious bans","After 3 years","After 3 months","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","United Kingdom (UK)",0,1,0,730,"Male","30-39","Yes","High school graduate (Baccalaureate / Tawjihi)","1",4,1,3,"Citizenship and rights","Canada","1","41.078"
"Friends","Free healthcare","Ban on nikab and burka in public","After 8 years","Immediately","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","United States of America (USA)",0,1,0,735,"Male","18 - 29","Yes","Diploma or technical certificate (2-year)","0",8,6,NA,"Don't know / Prefer not to answer","Other / Prefer not to answer","1","767.825"
"Family","Free housing","Ban on hijab in schools","After 3 years","After 3 months","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","United States of America (USA)",0,1,0,736,"Male","18 - 29","No","Less than high school degree","0",2,1,6,"Citizenship and rights","Canada","1","30.026"
"Other Syrians","Free housing","Ban on nikab and burka in public","After 5 years","After 3 months","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","United States of America (USA)",1,1,1,737,"Male","18 - 29","No","Some college but no degree","0",7,1,5,"Citizenship and rights","UK","1","28.105"
"Other Syrians","Free healthcare","Ban on hijab in schools","After 5 years","After 12 months","Half of all Syrians employed after one year","1 in 4 people oppose taking in refugees","Canada",1,1,0,739,"Male","30-39","Yes","Bachelor's degree (4-year)","1",7,3,5,"Social benefits and healthcare","Canada","1","42.839"
"Friends","No minimum wage","Ban on immigration from Muslim countries","After 3 years","Immediately","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","Canada",1,1,0,741,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",7,1,6,"Asylum policies (e.g. family reunification, resettlement)","USA","1","7.14"
"Friends","Generous support for refugees","Ban on immigration from Muslim countries","After 5 years","Immediately","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","France",1,1,0,742,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",2,1,3,"Education opportunities","USA","1","8.264"
"No contacts","Free housing","Ban on hijab in schools","After 3 years","Immediately","Half of all Syrians employed after one year","Half the population supports restricting immigration of Muslims","United States of America (USA)",1,1,0,744,"Male","18 - 29","No","Some college but no degree","0",8,1,3,"Friends / family / relatives in the country","UK","1","62.521"
"Family","No minimum wage","Ban on immigration from Muslim countries","After 8 years","After 12 months","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Germany",1,1,0,746,"Male","30-39","Yes","Bachelor's degree (4-year)","0",2,1,3,"Asylum policies (e.g. family reunification, resettlement)","Canada","1","5.476"
